companhia;opex;remuneracaoEmAcoes;despesasAdministrativas;exercicioOpcoes;compraTitulos;jurosAPagar;valorGastoExercicioOpcoes;amortizacao;rendaOperacoesContinuadas;lucroBruto;receitas;ativos;passivos;depreciacao;ganhosPorAcao;ebtida;temDivida
1304492.0;22004459.0;;16726269.0;45066.0;;;45066.0;;;74680.0;3543529.0;274048960.0;11863580.0;545598.0;;;0.0
1305014.0;;;;;315000000.0;;;;191000000.0;1573000000.0;;10064000000.0;;263000000.0;4.54;;1.0
1305168.0;;0.0;;673000.0;;;673000.0;469000.0;;148124000.0;;476124000.0;266990000.0;;2.08;;0.0
1305253.0;42181000.0;0.0;12435000.0;;;;826000.0;;;;;33886000.0;;504000.0;;;0.0
1305294.0;533772000.0;0.0;111590000.0;41269000.0;;;41269000.0;2400000.0;;522137000.0;;666596000.0;304801000.0;11300000.0;;;0.0
1305323.0;;;56588000.0;284000.0;65843000.0;;284000.0;6166000.0;;;;506766000.0;203116000.0;;-1.54;;0.0
1305773.0;80433000.0;;23191000.0;806000.0;;;;;;24472000.0;66887000.0;159369000.0;18157000.0;2400000.0;-2.6;;1.0
1306830.0;;;;3000000.0;;16000000.0;4000000.0;;306000000.0;1318000000.0;;8586000000.0;;346000000.0;2.02;;1.0
1307140.0;;;;;;68807.0;;;;;905983.0;937328.0;;21918.0;;;0.0
1307579.0;6613903.0;0.0;2814747.0;;;;;;;3214424.0;;28073546.0;5506262.0;1437787.0;-0.06;;0.0
1307748.0;465253000.0;;78218000.0;;;;;;;;450044000.0;4213419000.0;2064716000.0;;;;0.0
1307752.0;5791685.0;0.0;2961802.0;;;;;296404.0;;4799070.0;;7097181.0;3299863.0;211969.0;;;1.0
1307954.0;1443000000.0;;;;;22000000.0;1000000.0;;97000000.0;1848000000.0;10299000000.0;9820000000.0;8191000000.0;377000000.0;0.38;;1.0
1308027.0;1168341.0;0.0;1168341.0;;;;;77023.0;-1238878.0;110568.0;378666.0;421277.0;3042305.0;1608.0;;;0.0
1308161.0;;;;;;;;;2763000000.0;;27326000000.0;48365000000.0;;;1.42;;1.0
1308208.0;1055378000.0;;;;;;;22004000.0;;;1128773000.0;510998000.0;;25800000.0;1.37;;1.0
1308547.0;662594000.0;0.009000000000000001;182176000.0;28627000.0;321015000.0;;7000.0;66111000.0;;875822000.0;970638000.0;2133293000.0;317286000.0;48200000.0;1.77;;0.0
1308569.0;5221131.0;;632868.0;3000.0;;8763.0;;;;;89772.0;929851.0;;297.0;;;0.0
1308606.0;;;47730000.0;;;;46000.0;158186000.0;25064000.0;;667335000.0;7918996000.0;4429165000.0;;0.26;;1.0
1308711.0;;;4842000.0;;;;;;-25188000.0;;55391000.0;307802000.0;201057000.0;;;;1.0
1309082.0;25635789.0;;2500814.0;;;;;;;;;14792132.0;12391434.0;;;;0.0
